Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L2	0
A1	L34	69
A1	L4py	13
A1	L4sp	0
A1	L4ss	8
A1	L5st	36
A1	L5tt	3
A1	L6cc	41
A1	L6ccinv	1
A1	L6ct	0
A1	VPM	0
A1	L1	0
A1	L23Trans	0
A1	L45Peak	0
A1	L45Sym	1
A1	L56Trans	0
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal4	3
A1	SymLocal5	0
A1	SymLocal6	0
A2	L2	10
A2	L34	34
A2	L4py	7
A2	L4sp	0
A2	L4ss	1
A2	L5st	95
A2	L5tt	0
A2	L6cc	50
A2	L6ccinv	9
A2	L6ct	0
A2	VPM	0
A2	L1	1
A2	L23Trans	0
A2	L45Peak	2
A2	L45Sym	2
A2	L56Trans	6
A2	SymLocal1	0
A2	SymLocal2	0
A2	SymLocal3	0
A2	SymLocal4	2
A2	SymLocal5	0
A2	SymLocal6	0
A3	L2	23
A3	L34	22
A3	L4py	4
A3	L4sp	0
A3	L4ss	0
A3	L5st	37
A3	L5tt	14
A3	L6cc	31
A3	L6ccinv	15
A3	L6ct	4
A3	VPM	0
A3	L1	0
A3	L23Trans	0
A3	L45Peak	3
A3	L45Sym	2
A3	L56Trans	12
A3	SymLocal1	0
A3	SymLocal2	0
A3	SymLocal3	0
A3	SymLocal4	5
A3	SymLocal5	0
A3	SymLocal6	0
A4	L2	5
A4	L34	21
A4	L4py	14
A4	L4sp	0
A4	L4ss	4
A4	L5st	0
A4	L5tt	12
A4	L6cc	54
A4	L6ccinv	13
A4	L6ct	1
A4	VPM	0
A4	L1	0
A4	L23Trans	0
A4	L45Peak	2
A4	L45Sym	1
A4	L56Trans	3
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	SymLocal4	4
A4	SymLocal5	0
A4	SymLocal6	0
Alpha	L2	28
Alpha	L34	77
Alpha	L4py	0
Alpha	L4sp	0
Alpha	L4ss	0
Alpha	L5st	31
Alpha	L5tt	0
Alpha	L6cc	47
Alpha	L6ccinv	12
Alpha	L6ct	4
Alpha	VPM	0
Alpha	L1	0
Alpha	L23Trans	0
Alpha	L45Peak	0
Alpha	L45Sym	0
Alpha	L56Trans	0
Alpha	SymLocal1	0
Alpha	SymLocal2	0
Alpha	SymLocal3	0
Alpha	SymLocal4	0
