Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L2	0
A1	L34	40
A1	L4py	13
A1	L4sp	0
A1	L4ss	0
A1	L5st	32
A1	L5tt	0
A1	L6cc	16
A1	L6ccinv	1
A1	L6ct	0
A1	VPM	0
A1	L1	0
A1	L23Trans	0
A1	L45Peak	1
A1	L45Sym	1
A1	L56Trans	1
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal4	2
A1	SymLocal5	0
A1	SymLocal6	0
A2	L2	0
A2	L34	4
A2	L4py	0
A2	L4sp	0
A2	L4ss	0
A2	L5st	27
A2	L5tt	12
A2	L6cc	6
A2	L6ccinv	2
A2	L6ct	0
A2	VPM	0
A2	L1	0
A2	L23Trans	0
A2	L45Peak	2
A2	L45Sym	2
A2	L56Trans	2
A2	SymLocal1	0
A2	SymLocal2	0
A2	SymLocal3	0
A2	SymLocal4	5
A2	SymLocal5	0
A2	SymLocal6	0
A3	L2	0
A3	L34	1
A3	L4py	12
A3	L4sp	0
A3	L4ss	0
A3	L5st	1
A3	L5tt	5
A3	L6cc	32
A3	L6ccinv	2
A3	L6ct	0
A3	VPM	0
A3	L1	0
A3	L23Trans	0
A3	L45Peak	0
A3	L45Sym	0
A3	L56Trans	1
A3	SymLocal1	0
A3	SymLocal2	0
A3	SymLocal3	0
A3	SymLocal4	2
A3	SymLocal5	0
A3	SymLocal6	0
A4	L2	0
A4	L34	4
A4	L4py	11
A4	L4sp	0
A4	L4ss	0
A4	L5st	0
A4	L5tt	0
A4	L6cc	32
A4	L6ccinv	6
A4	L6ct	0
A4	VPM	0
A4	L1	0
A4	L23Trans	0
A4	L45Peak	0
A4	L45Sym	0
A4	L56Trans	1
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	SymLocal4	0
A4	SymLocal5	0
A4	SymLocal6	0
Alpha	L2	16
Alpha	L34	83
Alpha	L4py	18
Alpha	L4sp	0
Alpha	L4ss	4
Alpha	L5st	80
Alpha	L5tt	9
Alpha	L6cc	57
Alpha	L6ccinv	22
Alpha	L6ct	0
Alpha	VPM	0
Alpha	L1	0
Alpha	L23Trans	0
Alpha	L45Peak	1
Alpha	L45Sym	0
Alpha	L56Trans	4
Alpha	SymLocal1	0
Alpha	SymLocal2	0
Alpha	SymLocal3	0
Alpha	SymLocal4	1
Alpha	SymLocal5	0
Alpha	SymLocal6	0
B1	L2	172
B1	L34	300
B1	L4py	29
B1	L4sp	28
B1	L4ss	72
B1	L5st	239
B1	L5tt	62
B1	L6cc	88
B1	L6ccinv	42
B1	L6ct	15
B1	VPM	4
B1	L1	12
B1	L23Trans	3
B1	L45Peak	15
B1	L45Sym	10
B1	L56Trans	17
B1	SymLocal1	5
B1	SymLocal2	1
B1	SymLocal3	0
B1	SymLocal4	14
B1	SymLocal5	0
B1	SymLocal6	0
B2	L2	217
B2	L34	328
B2	L4py	70
B2	L4sp	11
B2	L4ss	64
B2	L5st	249
B2	L5tt	104
B2	L6cc	105
B2	L6ccinv	76
B2	L6ct	53
B2	VPM	19
B2	L1	14
B2	L23Trans	3
B2	L45Peak	33
B2	L45Sym	16
B2	L56Trans	51
B2	SymLocal1	2
B2	SymLocal2	6
B2	SymLocal3	2
B2	SymLocal4	30
B2	SymLocal5	1
B2	SymLocal6	0
B3	L2	100
B3	L34	111
B3	L4py	55
B3	L4sp	4
B3	L4ss	3
B3	L5st	31
B3	L5tt	29
B3	L6cc	96
B3	L6ccinv	18
B3	L6ct	52
B3	VPM	0
B3	L1	2
B3	L23Trans	0
B3	L45Peak	8
B3	L45Sym	3
B3	L56Trans	12
B3	SymLocal1	0
B3	SymLocal2	0
B3	SymLocal3	0
B3	SymLocal4	10
B3	SymLocal5	0
B3	SymLocal6	0
B4	L2	16
B4	L34	26
B4	L4py	3
B4	L4sp	0
B4	L4ss	0
B4	L5st	0
B4	L5tt	8
B4	L6cc	41
B4	L6ccinv	23
B4	L6ct	14
B4	VPM	0
B4	L1	0
B4	L23Trans	0
B4	L45Peak	0
B4	L45Sym	0
B4	L56Trans	0
B4	SymLocal1	0
B4	SymLocal2	0
B4	SymLocal3	0
B4	SymLocal4	1
B4	SymLocal5	1
