Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L2	0
A1	L34	29
A1	L4py	8
A1	L4sp	0
A1	L4ss	2
A1	L5st	56
A1	L5tt	2
A1	L6cc	14
A1	L6ccinv	1
A1	L6ct	0
A1	VPM	0
A1	L1	0
A1	L23Trans	0
A1	L45Peak	0
A1	L45Sym	0
A1	L56Trans	0
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal4	2
A1	SymLocal5	0
A1	SymLocal6	0
A2	L2	0
A2	L34	29
A2	L4py	1
A2	L4sp	0
A2	L4ss	0
A2	L5st	36
A2	L5tt	0
A2	L6cc	12
A2	L6ccinv	5
A2	L6ct	0
A2	VPM	0
A2	L1	0
A2	L23Trans	0
A2	L45Peak	1
A2	L45Sym	0
A2	L56Trans	1
A2	SymLocal1	0
A2	SymLocal2	0
A2	SymLocal3	0
A2	SymLocal4	0
A2	SymLocal5	0
A2	SymLocal6	0
A3	L2	0
A3	L34	2
A3	L4py	7
A3	L4sp	0
A3	L4ss	0
A3	L5st	11
A3	L5tt	2
A3	L6cc	31
A3	L6ccinv	6
A3	L6ct	0
A3	VPM	1
A3	L1	0
A3	L23Trans	0
A3	L45Peak	0
A3	L45Sym	1
A3	L56Trans	5
A3	SymLocal1	0
A3	SymLocal2	0
A3	SymLocal3	0
A3	SymLocal4	1
A3	SymLocal5	0
A3	SymLocal6	0
A4	L2	0
A4	L34	7
A4	L4py	3
A4	L4sp	0
A4	L4ss	0
A4	L5st	0
A4	L5tt	5
A4	L6cc	36
A4	L6ccinv	10
A4	L6ct	0
A4	VPM	0
A4	L1	0
A4	L23Trans	0
A4	L45Peak	1
A4	L45Sym	0
A4	L56Trans	6
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	SymLocal4	1
A4	SymLocal5	0
A4	SymLocal6	0
Alpha	L2	19
Alpha	L34	111
Alpha	L4py	9
Alpha	L4sp	0
Alpha	L4ss	0
Alpha	L5st	49
Alpha	L5tt	0
Alpha	L6cc	30
Alpha	L6ccinv	10
Alpha	L6ct	5
Alpha	VPM	0
Alpha	L1	0
Alpha	L23Trans	0
Alpha	L45Peak	0
Alpha	L45Sym	0
Alpha	L56Trans	0
Alpha	SymLocal1	0
Alpha	SymLocal2	0
Alpha	SymLocal3	0
Alpha	SymLocal4	2
Alpha	SymLocal5	0
Alpha	SymLocal6	0
B1	L2	69
B1	L34	236
B1	L4py	63
B1	L4sp	22
B1	L4ss	13
B1	L5st	322
B1	L5tt	51
B1	L6cc	105
B1	L6ccinv	21
B1	L6ct	9
B1	VPM	4
B1	L1	8
B1	L23Trans	1
B1	L45Peak	4
B1	L45Sym	7
B1	L56Trans	15
B1	SymLocal1	3
B1	SymLocal2	1
B1	SymLocal3	0
B1	SymLocal4	7
B1	SymLocal5	0
B1	SymLocal6	0
B2	L2	279
B2	L34	433
B2	L4py	29
B2	L4sp	9
B2	L4ss	50
B2	L5st	345
B2	L5tt	58
B2	L6cc	79
B2	L6ccinv	81
B2	L6ct	27
B2	VPM	19
B2	L1	10
B2	L23Trans	7
B2	L45Peak	35
B2	L45Sym	28
B2	L56Trans	38
B2	SymLocal1	0
B2	SymLocal2	4
B2	SymLocal3	4
B2	SymLocal4	37
B2	SymLocal5	0
B2	SymLocal6	1
B3	L2	153
B3	L34	188
B3	L4py	78
B3	L4sp	1
B3	L4ss	13
B3	L5st	60
B3	L5tt	43
B3	L6cc	140
B3	L6ccinv	43
B3	L6ct	27
B3	VPM	0
B3	L1	3
B3	L23Trans	2
B3	L45Peak	12
B3	L45Sym	14
B3	L56Trans	23
B3	SymLocal1	0
B3	SymLocal2	0
B3	SymLocal3	5
B3	SymLocal4	15
B3	SymLocal5	1
B3	SymLocal6	0
B4	L2	27
B4	L34	57
B4	L4py	25
B4	L4sp	0
B4	L4ss	0
B4	L5st	22
B4	L5tt	12
B4	L6cc	41
B4	L6ccinv	44
B4	L6ct	23
B4	VPM	0
B4	L1	0
B4	L23Trans	0
B4	L45Peak	5
B4	L45Sym	0
B4	L56Trans	3
B4	SymLocal1	0
B4	SymLocal2	0
B4	SymLocal3	0
B4	SymLocal4	3
B4	SymLocal5	0
B4	SymLocal6	0
Beta	L2	80
Beta	L34	35
Beta	L4py	0
Beta	L4sp	3
Beta	L4ss	0
Beta	L5st	65
Beta	L5tt	2
Beta	L6cc	52
Beta	L6ccinv	50
Beta	L6ct	10
Beta	VPM	0
Beta	L1	2
Beta	L23Trans	0
Beta	L45Peak	0
Beta	L45Sym	0
Beta	L56Trans	3
Beta	SymLocal1	0
Beta	SymLocal2	0
Beta	SymLocal3	0
Beta	SymLocal4	0
Beta	SymLocal5	0
Beta	SymLocal6	0
C1	L2	296
C1	L34	410
C1	L4py	56
C1	L4sp	139
C1	L4ss	90
C1	L5st	488
C1	L5tt	15
C1	L6cc	88
C1	L6ccinv	63
C1	L6ct	137
C1	VPM	25
C1	L1	15
C1	L23Trans	6
C1	L45Peak	17
C1	L45Sym	7
C1	L56Trans	19
C1	SymLocal1	6
C1	SymLocal2	0
C1	SymLocal3	5
C1	SymLocal4	31
C1	SymLocal5	0
C1	SymLocal6	0
C2	L2	1184
C2	L34	1685
C2	L4py	280
C2	L4sp	433
C2	L4ss	969
C2	L5st	788
C2	L5tt	298
C2	L6cc	196
C2	L6ccinv	216
C2	L6ct	478
C2	VPM	176
C2	L1	43
