Presynaptic column	Presynaptic cell type	Connected presynaptic cells
A1	L2	0
A1	L34	2
A1	L4py	1
A1	L4sp	0
A1	L4ss	1
A1	L5st	37
A1	L5tt	0
A1	L6cc	1
A1	L6ccinv	0
A1	L6ct	0
A1	VPM	0
A1	L1	0
A1	L23Trans	0
A1	L45Peak	0
A1	L45Sym	0
A1	L56Trans	0
A1	SymLocal1	0
A1	SymLocal2	0
A1	SymLocal3	0
A1	SymLocal4	0
A1	SymLocal5	0
A1	SymLocal6	0
A2	L2	0
A2	L34	2
A2	L4py	10
A2	L4sp	0
A2	L4ss	0
A2	L5st	13
A2	L5tt	0
A2	L6cc	0
A2	L6ccinv	1
A2	L6ct	0
A2	VPM	0
A2	L1	0
A2	L23Trans	0
A2	L45Peak	0
A2	L45Sym	0
A2	L56Trans	1
A2	SymLocal1	0
A2	SymLocal2	0
A2	SymLocal3	0
A2	SymLocal4	0
A2	SymLocal5	0
A2	SymLocal6	0
A3	L2	0
A3	L34	0
A3	L4py	3
A3	L4sp	0
A3	L4ss	0
A3	L5st	6
A3	L5tt	0
A3	L6cc	8
A3	L6ccinv	0
A3	L6ct	0
A3	VPM	0
A3	L1	0
A3	L23Trans	0
A3	L45Peak	0
A3	L45Sym	0
A3	L56Trans	0
A3	SymLocal1	0
A3	SymLocal2	0
A3	SymLocal3	0
A3	SymLocal4	0
A3	SymLocal5	0
A3	SymLocal6	0
A4	L2	0
A4	L34	0
A4	L4py	2
A4	L4sp	0
A4	L4ss	0
A4	L5st	0
A4	L5tt	2
A4	L6cc	14
A4	L6ccinv	11
A4	L6ct	0
A4	VPM	0
A4	L1	0
A4	L23Trans	0
A4	L45Peak	0
A4	L45Sym	0
A4	L56Trans	0
A4	SymLocal1	0
A4	SymLocal2	0
A4	SymLocal3	0
A4	SymLocal4	1
A4	SymLocal5	0
A4	SymLocal6	0
Alpha	L2	0
Alpha	L34	41
Alpha	L4py	0
Alpha	L4sp	0
Alpha	L4ss	2
Alpha	L5st	6
Alpha	L5tt	0
Alpha	L6cc	7
Alpha	L6ccinv	23
Alpha	L6ct	0
Alpha	VPM	0
Alpha	L1	0
Alpha	L23Trans	0
Alpha	L45Peak	0
Alpha	L45Sym	0
Alpha	L56Trans	0
Alpha	SymLocal1	0
Alpha	SymLocal2	0
Alpha	SymLocal3	0
Alpha	SymLocal4	0
Alpha	SymLocal5	0
Alpha	SymLocal6	0
B1	L2	47
B1	L34	147
B1	L4py	30
B1	L4sp	0
B1	L4ss	22
B1	L5st	124
B1	L5tt	30
B1	L6cc	67
B1	L6ccinv	8
B1	L6ct	2
B1	VPM	1
B1	L1	1
B1	L23Trans	0
B1	L45Peak	4
B1	L45Sym	4
B1	L56Trans	8
B1	SymLocal1	1
B1	SymLocal2	1
B1	SymLocal3	0
B1	SymLocal4	10
B1	SymLocal5	0
B1	SymLocal6	0
B2	L2	158
B2	L34	165
B2	L4py	5
B2	L4sp	0
B2	L4ss	22
B2	L5st	142
B2	L5tt	38
B2	L6cc	74
B2	L6ccinv	18
B2	L6ct	0
B2	VPM	5
B2	L1	4
B2	L23Trans	1
B2	L45Peak	13
B2	L45Sym	9
B2	L56Trans	16
B2	SymLocal1	1
B2	SymLocal2	0
B2	SymLocal3	0
B2	SymLocal4	21
B2	SymLocal5	0
B2	SymLocal6	0
B3	L2	81
B3	L34	62
B3	L4py	27
B3	L4sp	0
B3	L4ss	17
B3	L5st	7
B3	L5tt	10
B3	L6cc	83
B3	L6ccinv	26
B3	L6ct	3
B3	VPM	1
B3	L1	1
B3	L23Trans	1
B3	L45Peak	10
B3	L45Sym	3
B3	L56Trans	5
B3	SymLocal1	0
B3	SymLocal2	0
B3	SymLocal3	0
B3	SymLocal4	8
B3	SymLocal5	0
B3	SymLocal6	0
B4	L2	2
B4	L34	20
B4	L4py	33
B4	L4sp	0
B4	L4ss	0
B4	L5st	0
B4	L5tt	4
B4	L6cc	93
B4	L6ccinv	9
B4	L6ct	0
B4	VPM	0
B4	L1	0
B4	L23Trans	0
B4	L45Peak	0
B4	L45Sym	0
B4	L56Trans	2
B4	SymLocal1	0
B4	SymLocal2	0
B4	SymLocal3	0
B4	SymLocal4	4
B4	SymLocal5	0
B4	SymLocal6	0
Beta	L2	77
Beta	L34	37
Beta	L4py	0
Beta	L4sp	1
Beta	L4ss	0
Beta	L5st	88
Beta	L5tt	0
Beta	L6cc	79
Beta	L6ccinv	14
Beta	L6ct	15
Beta	VPM	0
Beta	L1	1
Beta	L23Trans	0
Beta	L45Peak	0
Beta	L45Sym	0
Beta	L56Trans	0
Beta	SymLocal1	0
Beta	SymLocal2	0
Beta	SymLocal3	0
Beta	SymLocal4	0
Beta	SymLocal5	0
Beta	SymLocal6	0
C1	L2	195
C1	L34	511
C1	L4py	87
C1	L4sp	238
C1	L4ss	121
C1	L5st	383
C1	L5tt	28
C1	L6cc	77
C1	L6ccinv	64
C1	L6ct	81
C1	VPM	8
C1	L1	11
C1	L23Trans	1
C1	L45Peak	23
C1	L45Sym	8
C1	L56Trans	22
C1	SymLocal1	2
C1	SymLocal2	0
C1	SymLocal3	1
C1	SymLocal4	25
C1	SymLocal5	0
C1	SymLocal6	0
C2	L2	942
C2	L34	1478
C2	L4py	235
C2	L4sp	436
C2	L4ss	825
C2	L5st	773
C2	L5tt	251
C2	L6cc	242
C2	L6ccinv	199
C2	L6ct	381
C2	VPM	147
C2	L1	45
C2	L23Trans	45
C2	L45Peak	141
C2	L45Sym	100
C2	L56Trans	126
C2	SymLocal1	87
C2	SymLocal2	34
C2	SymLocal3	135
C2	SymLocal4	89
C2	SymLocal5	3
C2	SymLocal6	0
C3	L2	116
C3	L34	413
C3	L4py	118
C3	L4sp	69
C3	L4ss	2
C3	L5st	139
C3	L5tt	89
C3	L6cc	233
C3	L6ccinv	63
C3	L6ct	112
C3	VPM	1
C3	L1	10
C3	L23Trans	1
C3	L45Peak	17
C3	L45Sym	10
C3	L56Trans	24
C3	SymLocal1	1
C3	SymLocal2	0
C3	SymLocal3	9
C3	SymLocal4	16
C3	SymLocal5	1
C3	SymLocal6	0
C4	L2	2
C4	L34	1
C4	L4py	8
C4	L4sp	15
C4	L4ss	0
C4	L5st	1
C4	L5tt	9
C4	L6cc	92
C4	L6ccinv	0
C4	L6ct	1
C4	VPM	0
C4	L1	0
C4	L23Trans	0
C4	L45Peak	1
C4	L45Sym	0
C4	L56Trans	0
C4	SymLocal1	0
C4	SymLocal2	0
C4	SymLocal3	0
C4	SymLocal4	3
C4	SymLocal5	0
C4	SymLocal6	0
D1	L2	162
D1	L34	283
D1	L4py	22
D1	L4sp	75
D1	L4ss	31
D1	L5st	219
D1	L5tt	3
D1	L6cc	64
D1	L6ccinv	20
D1	L6ct	32
D1	VPM	20
D1	L1	17
D1	L23Trans	2
D1	L45Peak	21
D1	L45Sym	17
D1	L56Trans	39
D1	SymLocal1	3
D1	SymLocal2	0
D1	SymLocal3	17
D1	SymLocal4	14
D1	SymLocal5	1
D1	SymLocal6	0
D2	L2	523
D2	L34	1157
D2	L4py	138
D2	L4sp	206
D2	L4ss	229
D2	L5st	154
D2	L5tt	152
D2	L6cc	186
D2	L6ccinv	108
D2	L6ct	60
D2	VPM	17
D2	L1	39
D2	L23Trans	20
D2	L45Peak	53
D2	L45Sym	37
D2	L56Trans	100
D2	SymLocal1	28
D2	SymLocal2	2
D2	SymLocal3	59
D2	SymLocal4	59
D2	SymLocal5	4
D2	SymLocal6	0
D3	L2	125
D3	L34	327
D3	L4py	28
D3	L4sp	32
D3	L4ss	13
D3	L5st	102
D3	L5tt	17
D3	L6cc	97
D3	L6ccinv	39
D3	L6ct	19
D3	VPM	0
D3	L1	10
D3	L23Trans	0
D3	L45Peak	2
D3	L45Sym	6
D3	L56Trans	3
D3	SymLocal1	0
D3	SymLocal2	0
D3	SymLocal3	5
D3	SymLocal4	6
D3	SymLocal5	0
D3	SymLocal6	0
D4	L2	82
D4	L34	4
D4	L4py	0
D4	L4sp	0
D4	L4ss	0
D4	L5st	0
D4	L5tt	0
D4	L6cc	39
D4	L6ccinv	4
D4	L6ct	0
D4	VPM	0
D4	L1	0
D4	L23Trans	0
D4	L45Peak	0
D4	L45Sym	0
D4	L56Trans	0
D4	SymLocal1	0
D4	SymLocal2	0
D4	SymLocal3	0
D4	SymLocal4	0
D4	SymLocal5	0
D4	SymLocal6	0
Delta	L2	12
Delta	L34	6
Delta	L4py	0
Delta	L4sp	18
Delta	L4ss	0
Delta	L5st	39
Delta	L5tt	0
Delta	L6cc	35
Delta	L6ccinv	31
Delta	L6ct	0
