#begin,end,prob
0,50,0.04972
50,100,0.13101
100,150,0.16325
150,200,0.13401
200,250,0.10956
250,300,0.08459
300,350,0.04638
350,400,0.01806
400,450,0.01322
450,500,0.00709
500,550,0.00953
550,600,0.00656
600,650,0.00872
650,700,0.01020
700,750,0.00831
750,800,0.00801
800,850,0.00586
850,900,0.00634
900,950,0.00574
950,1000,0.01533
1000,1050,0.01815
1050,1100,0.01685
1100,1150,0.01456
1150,1200,0.01339
1200,1250,0.01339
1250,1300,0.01528
1300,1350,0.01758
1350,1400,0.01734
1400,1450,0.01562
1450,1500,0.01080
1500,1550,0.00493
1550,1600,0.00062
