# begin,end,prob
0.0,50.0,0.121054155807
50.0,100.0,0.133893232938
100.0,150.0,0.134038034559
150.0,200.0,0.114731151656
200.0,250.0,0.0845641471184
250.0,300.0,0.0646297905203
300.0,350.0,0.035910802201
350.0,400.0,0.0143836277633
400.0,450.0,0.00921903658654
450.0,500.0,0.00530939279853
500.0,550.0,0.00584033207839
550.0,600.0,0.00395791099527
600.0,650.0,0.0051163239695
650.0,700.0,0.00381310937349
700.0,750.0,0.00313736847186
750.0,800.0,0.00328217009364
800.0,850.0,0.0030891012646
850.0,900.0,0.00400617820253
900.0,950.0,0.0051163239695
950.0,1000.0,0.0141905589343
1000.0,1050.0,0.013949222898
1050.0,1100.0,0.0112462592914
1100.0,1150.0,0.00979824307366
1150.0,1200.0,0.00902596775751
1200.0,1250.0,0.00892943334299
1250.0,1300.0,0.0134665508254
1300.0,1350.0,0.0302635389516
1350.0,1400.0,0.0447437011295
1400.0,1450.0,0.0451298387875
1450.0,1500.0,0.0288155227339
1500.0,1550.0,0.0140940245197
1550.0,1600.0,0.00125494738874
