#begin,end,prob
0,50,0.0479094833
50,100,0.1275204785
100,150,0.1581771926
150,200,0.1267339304
200,250,0.099527409
250,300,0.0723369002
300,350,0.037448502
350,400,0.0126029492
400,450,0.0080567904
450,500,0.0037659918
500,550,0.0056064878
550,600,0.0038548441
600,650,0.0052013547
650,700,0.0065387153
700,750,0.0059449214
750,800,0.0059528676
800,850,0.0046327237
850,900,0.005442749
900,950,0.005338486
950,1000,0.0152795966
1000,1050,0.0205228492
1050,1100,0.0208019275
1100,1150,0.0189879186
1150,1200,0.0211626344
1200,1250,0.0206908018
1250,1300,0.0252006011
1300,1350,0.0296351527
1350,1400,0.0284875365
1400,1450,0.0270106369
1450,1500,0.0202808529
1500,1550,0.0081112094
1550,1600,0.0012355054
