# begin,end,prob
0,50,0.1361784941
50,100,0.1516977527
100,150,0.1509165805
150,200,0.1285988817
200,250,0.0945743699
250,300,0.072650774
300,350,0.0412744229
350,400,0.0170136846
400,450,0.0108873954
450,500,0.0063713672
500,550,0.0071758383
550,600,0.0047483577
600,650,0.0062322332
650,700,0.0045933981
700,750,0.0038781661
750,800,0.0039377322
800,850,0.0038032141
850,900,0.0048580383
900,950,0.0061458515
950,1000,0.0171923827
1000,1050,0.0169950015
1050,1100,0.0136790859
1100,1150,0.0118688061
1150,1200,0.009909941
1200,1250,0.0082394546
1250,1300,0.0086926839
1300,1350,0.0124284191
1350,1400,0.0154924429
1400,1450,0.0161711879
1450,1500,0.0091529469
1500,1550,0.0041768755
1550,1600,0.0004642194
